nom_latin,nom_anglais
"Harpagus bidentatus","Double-toothed Kite"
"Cercomacroides tyrannina","Dusky Antbird"
"Sclerurus obscurior","Dusky Leaftosser"
"Pionus fuscus","Dusky Parrot"
"Iodopleura fusca","Dusky Purpletuft"
"Myiarchus tuberculifer","Dusky-capped Flycatcher"
"Myiozetetes luteiventris","Dusky-chested Flycatcher"
"Thamnomanes ardesiacus","Dusky-throated Antshrike"
"Sturnella magna","Eastern Meadowlark"
"Icterus cayanensis","Epaulet Oriole"
"Lathrotriccus euleri","Euler's Flycatcher"
"Cymbilaimus lineatus","Fasciated Antshrike"
"Myrmoderus ferrugineus","Ferruginous-backed Antbird"
"Loriotus cristatus","Flame-crested Tanager"
"Megascops roraimae","Foothill Screech Owl"
"Myiopagis gaimardii","Forest Elaenia"
"Thalurania furcata","Fork-tailed Woodnymph"
"Lanio fulvus","Fulvous Shrike-Tanager"
"Tachyphonus surinamus","Fulvous-crested Tanager"
"Cnemotriccus fuscatus","Fuscous Flycatcher"
"Molothrus oryzivorus","Giant Cowbird"
"Gallinago undulata","Giant Snipe"
"Chionomesa fimbriata","Glittering-throated Emerald"
"Pachyramphus surinamus","Glossy-backed Becard"
"Veniliornis cassini","Golden-collared Woodpecker"
"Platyrinchus coronatus","Golden-crowned Spadebill"
"Piculus chrysochloros","Golden-green Woodpecker"
"Ceratopipra erythrocephala","Golden-headed Manakin"
"Colaptes rubiginosus","Golden-olive Woodpecker"
"Euphonia cayennensis","Golden-sided Euphonia"
"Picumnus exilis","Golden-spangled Piculet"
"Brotogeris chrysoptera","Golden-winged Parakeet"
"Ammodramus humeralis","Grassland Sparrow"
"Taraba major","Great Antshrike"
"Buteogallus urubitinga","Great Black Hawk"
"Jacamerops aureus","Great Jacamar"
"Pitangus sulphuratus","Great Kiskadee"
"Nyctibius grandis","Great Potoo"
"Tinamus major","Great Tinamou"
"Phaethornis malaris","Great-billed Hermit"
"Crotophaga major","Greater Ani"
"Tringa melanoleuca","Greater Yellowlegs"
"Pteroglossus viridis","Green Aracari"
"Chlorophanes spiza","Green Honeycreeper"
"Mesembrinibis cayennensis","Green Ibis"
"Psarocolius viridis","Green Oropendola"
"Chloroceryle inda","Green-and-rufous Kingfisher"
"Pachyramphus viridis","Green-backed Becard"
"Trogon viridis","Green-backed Trogon"
"Forpus passerinus","Green-rumped Parrotlet"
"Polytmus theresiae","Green-tailed Goldenthroat"
"Galbula galbula","Green-tailed Jacamar"
"Anthracothorax viridigula","Green-throated Mango"
"Cercomacra cinerascens","Grey Antbird"
"Myrmotherula menetriesii","Grey Antwren"
"Myiopagis caniceps","Grey Elaenia"
"Laterallus exilis","Grey-breasted Crake"
"Progne chalybea","Grey-breasted Martin"
"Campylopterus largipennis","Grey-breasted Sabrewing"
"Hylophilus semicinereus","Grey-chested Greenlet"
"Aramides cajaneus","Grey-cowled Wood Rail"
"Tolmomyias poliocephalus","Grey-crowned Flatbill"
"Leptotila rufaxilla","Grey-fronted Dove"
"Leptodon cayanensis","Grey-headed Kite"
"Buteo nitidus","Grey-lined Hawk"
"Psophia crepitans","Grey-winged Trumpeter"
"Rhytipterna simplex","Greyish Mourner"
"Rupicola rupicola","Guianan Cock-of-the-rock"
"Polioptila guianensis","Guianan Gnatcatcher"
"Notharchus macrorhynchos","Guianan Puffbird"
"Phoenicircus carnifex","Guianan Red Cotinga"
"Schiffornis olivacea","Guianan Schiffornis"
"Myrmotherula surinamensis","Guianan Streaked Antwren"
"Selenidera piperivora","Guianan Toucanet"
"Trogon violaceus","Guianan Trogon"
"Zimmerius acer","Guianan Tyrannulet"
"Hypocnemis cantator","Guianan Warbling Antbird"
"Lepidocolaptes albolineatus","Guianan Woodcreeper"
"Hemithraupis guira","Guira Tanager"
"Harpia harpyja","Harpy Eagle"
"Lophotriccus galeatus","Helmeted Pygmy Tyrant"
"Opisthocomus hoazin","Hoatzin"
"Nemosia pileata","Hooded Tanager"
"Chondrohierax uncinatus","Hook-billed Kite"
"Troglodytes aedon","House Wren"
"Numenius hudsonicus","Hudsonian Whimbrel"
"Hydropsalis climacocerca","Ladder-tailed Nightjar"
"Phaetusa simplex","Large-billed Tern"
"Herpetotheres cachinnans","Laughing Falcon"
"Leucophaeus atricilla","Laughing Gull"
"Ixobrychus exilis","Least Bittern"
"Hylophilus thoracicus","Lemon-chested Greenlet"
"Elaenia chiriquensis","Lesser Elaenia"
"Philohydor lictor","Lesser Kiskadee"
"Chordeiles acutipennis","Lesser Nighthawk"
"Panyptila cayennensis","Lesser Swallow-tailed Swift"
"Touit batavicus","Lilac-tailed Parrotlet"
"Dryocopus lineatus","Lineated Woodpecker"
"Micrastur gilvicollis","Lined Forest Falcon"
"Sporophila lineola","Lined Seedeater"
"Egretta caerulea","Little Blue Heron"
"Ortalis motmot","Little Chachalaca"
"Coccycua minuta","Little Cuckoo"
"Phaethornis longuemareus","Little Hermit"
"Crypturellus soui","Little Tinamou"
"Veniliornis passerinus","Little Woodpecker"
"Phaethornis superciliosus","Long-tailed Hermit"
"Nyctibius aethereus","Long-tailed Potoo"
"Colonia colonus","Long-tailed Tyrant"
"Deconychura longicauda","Long-tailed Woodcreeper"
"Myrmotherula longipennis","Long-winged Antwren"
"Circus buffoni","Long-winged Harrier"
"Coccyzus minor","Mangrove Cuckoo"
"Rallus longirostris","Mangrove Rail"
"Setophaga petechia","Mangrove Warbler"
"Penelope marail","Marail Guan"
"Odontophorus gujanensis","Marbled Wood Quail"
"Geothlypis aequinoctialis","Masked Yellowthroat"
"Mionectes macconnelli","McConnell's Flycatcher"
"Synallaxis macconnelli","McConnell's Spinetail"
"Strix virgata","Mottled Owl"
"Thamnophilus murinus","Mouse-colored Antshrike"
"Phaeomyias murina","Mouse-colored Tyrannulet"
"Cyphorhinus arada","Musician Wren"
"Tachornis squamata","Neotropical Palm Swift"
"Sublegatus arenarum","Northern Scrub Flycatcher"
"Thamnophilus punctatus","Northern Slaty Antshrike"
"Parkesia noveboracensis","Northern Waterthrush"
"Micropygia schomburgkii","Ocellated Crake"
"Mionectes oleagineus","Ochre-bellied Flycatcher"
"Tolmomyias flaviventris","Ochre-lored Flatbill"
"Rhynchocyclus olivaceus","Olivaceous Flatbill"
"Saltator olivascens","Olivaceous Saltator"
"Automolus infuscatus","Olive-backed Foliage-gleaner"
"Phylloscartes virescens","Olive-green Tyrannulet"
"Tangara velia","Opal-rumped Tanager"
"Amazona amazonica","Orange-winged Amazon"
"Spizaetus ornatus","Ornate Hawk-Eagle"
"Neocrex erythrops","Paint-billed Crake"
"Pyrrhura picta","Painted Parakeet"
"Todirostrum pictum","Painted Tody-Flycatcher"
"Synallaxis albescens","Pale-breasted Spinetail"
"Turdus leucomelas","Pale-breasted Thrush"
"Inezia caudata","Pale-tipped Inezia"
"Patagioenas cayennensis","Pale-vented Pigeon"
"Thraupis palmarum","Palm Tanager"
"Galbula dea","Paradise Jacamar"
"Tangara chilensis","Paradise Tanager"
"Nyctidromus albicollis","Pauraque"
"Dromococcyx pavoninus","Pavonine Cuckoo"
"Coccyzus euleri","Pearly-breasted Cuckoo"
"Arremon taciturnus","Pectoral Sparrow"
"Notharchus tectus","Pied Puffbird"
"Fluvicola pica","Pied Water Tyrant"
"Pachyramphus minor","Pink-throated Becard"
"Legatus leucophaius","Piratic Flycatcher"
"Xenops minutus","Plain Xenops"
"Chrysuronia leucogaster","Plain-bellied Emerald"
"Dendrocincla fuliginosa","Plain-brown Woodcreeper"
"Elaenia cristata","Plain-crested Elaenia"
"Synallaxis gujanensis","Plain-crowned Spinetail"
"Ictinia plumbea","Plumbeous Kite"
"Patagioenas plumbea","Plumbeous Pigeon"
"Sporophila plumbea","Plumbeous Seedeater"
"Xipholena punicea","Pompadour Cotinga"
"Cyanerpes caeruleus","Purple Honeycreeper"
"Querula purpurata","Purple-throated Fruitcrow"
"Myrmotherula brachyura","Pygmy Antwren"
"Periporphyrus erythromelas","Red-and-black Grosbeak"
"Ara chloropterus","Red-and-green Macaw"
"Orthopsittaca manilatus","Red-bellied Macaw"
"Lamprospiza melanoleuca","Red-billed Pied Tanager"
"Hylexetastes perrotii","Red-billed Woodcreeper"
"Leistes militaris","Red-breasted Blackbird"
"Deroptyus accipitrinus","Red-fan Parrot"
"Cyanerpes cyaneus","Red-legged Honeycreeper"
"Campephilus rubricollis","Red-necked Woodpecker"
"Cacicus haemorrhous","Red-rumped Cacique"
"Diopsittaca nobilis","Red-shouldered Macaw"
"Tachyphonus phoenicius","Red-shouldered Tanager"
"Ibycter americanus","Red-throated Caracara"
"Phaethornis ruber","Reddish Hermit"
"Corythopis torquatus","Ringed Antpipit"
"Megaceryle torquata","Ringed Kingfisher"
"Celeus torquatus","Ringed Woodpecker"
"Myiothlypis rivularis","Riverbank Warbler"
"Rupornis magnirostris","Roadside Hawk"
"Granatellus pelzelni","Rose-breasted Chat"
"Thalasseus maximus","Royal Tern"
"Chrysolampis mosquitus","Ruby-topaz Hummingbird"
"Clibanornis rubiginosus","Ruddy Foliage-gleaner"
"Columbina talpacoti","Ruddy Ground Dove"
"Patagioenas subvinacea","Ruddy Pigeon"
"Geotrygon montana","Ruddy Quail-Dove"
"Sporophila minuta","Ruddy-breasted Seedeater"
"Terenotriccus erythrurus","Ruddy-tailed Flycatcher"
"Tigrisoma lineatum","Rufescent Tiger Heron"
"Buteogallus aequinoctialis","Rufous Crab Hawk"
"Antrostomus rufus","Rufous Nightjar"
"Isleria guttata","Rufous-bellied Antwren"
"Glaucis hirsutus","Rufous-breasted Hermit"
"Cyclarhis gujanensis","Rufous-browed Peppershrike"
"Formicarius colma","Rufous-capped Antthrush"
"Zonotrichia capensis","Rufous-collared Sparrow"
"Elaenia ruficeps","Rufous-crowned Elaenia"
"Aramides axillaris","Rufous-necked Wood Rail"
"Philydor erythrocercum","Rufous-rumped Foliage-gleaner"
"Laterallus melanophaius","Rufous-sided Crake"
"Ramphotrigon ruficauda","Rufous-tailed Flatbill"
"Microxenops milleri","Rufous-tailed Xenops"
"Gymnopithys rufigula","Rufous-throated Antbird"
"Hylocharis sapphirina","Rufous-throated Sapphire"
"Rufirallus viridis","Russet-crowned Crake"
"Crypturellus brevirostris","Rusty Tinamou"
"Nonnula rubecula","Rusty-breasted Nunlet"
"Myiozetetes cayanensis","Rusty-margined Flycatcher"
"Touit purpuratus","Sapphire-rumped Parrotlet"
"Buteogallus meridionalis","Savanna Hawk"
"Patagioenas speciosa","Scaled Pigeon"
"Ara macao","Scarlet Macaw"
"Lipaugus vociferans","Screaming Piha"
"Charadrius semipalmatus","Semipalmated Plover"
"Leptopogon amaurocephalus","Sepia-capped Flycatcher"
"Oxyruncus cristatus","Sharpbill"
"Molothrus bonariensis","Shiny Cowbird"
"Sclerurus rufigularis","Short-billed Leaftosser"
"Myiarchus ferox","Short-crested Flycatcher"
"Lurocalis semitorquatus","Short-tailed Nighthawk"
"Graydidascalus brachyurus","Short-tailed Parrot"
"Myiornis ecaudatus","Short-tailed Pygmy Tyrant"
"Chaetura brachyura","Short-tailed Swift"
"Chaetura meridionalis","Sick's Swift"
"Ramphocelus carbo","Silver-beaked Tanager"
"Sclateria naevia","Silvered Antbird"
"Saltator grossus","Slate-colored Grosbeak"
"Buteogallus schistaceus","Slate-colored Hawk"
"Micrastur mirandollei","Slaty-backed Forest Falcon"
"Vireolanius leucotis","Slaty-capped Shrike-Vireo"
"Helicolestes hamatus","Slender-billed Kite"
"Xenops tenuirostris","Slender-billed Xenops"
"Poecilotriccus fumifrons","Smoky-fronted Tody-Flycatcher"
"Crotophaga ani","Smooth-billed Ani"
"Rostrhamus sociabilis","Snail Kite"
"Myiozetetes similis","Social Flycatcher"
"Tringa solitaria","Solitary Sandpiper"
"Phyllomyias griseiceps","Sooty-headed Tyrannulet"
"Gallinago paraguaiae","South American Snipe"
"Camptostoma obsoletum","Southern Beardless Tyrannulet"
"Amazona farinosa","Southern Mealy Amazon"
"Formicivora grisea","Southern White-fringed Antwren"
"Cranioleuca gutturata","Speckled Spinetail"
"Pulsatrix perspicillata","Spectacled Owl"
"Turdus nudigenis","Spectacled Thrush"
"Hylophylax naevius","Spot-backed Antbird"
"Colaptes punctigula","Spot-breasted Woodpecker"
"Herpsilochmus sticturus","Spot-tailed Antwren"
"Hydropsalis maculicaudus","Spot-tailed Nightjar"
"Certhiasomus stictolaemus","Spot-throated Woodcreeper"
"Myrmelastes leucostigma","Spot-winged Antbird"
"Hylopezus macularius","Spotted Antpitta"
"Bucco tamatia","Spotted Puffbird"
"Actitis macularius","Spotted Sandpiper"
"Ixothraupis punctata","Spotted Tanager"
"Todirostrum maculatum","Spotted Tody-Flycatcher"
"Piaya cayana","Squirrel Cuckoo"
"Phaethornis bourcieri","Straight-billed Hermit"
"Dendroplex picus","Straight-billed Woodcreeper"
"Myiodynastes maculatus","Streaked Flycatcher"
"Butorides striata","Striated Heron"
"Tapera naevia","Striped Cuckoo"
"Asio clamator","Striped Owl"
"Xiphorhynchus obsoletus","Striped Woodcreeper"
"Tyrannopsis sulphurea","Sulphury Flycatcher"
"Piranga rubra","Summer Tanager"
"Eurypyga helias","Sunbittern"
"Heliornis fulica","Sungrebe"
"Elanoides forficatus","Swallow-tailed Kite"
"Chelidoptera tenebrosa","Swallow-winged Puffbird"
"Megascops watsonii","Tawny-bellied Screech Owl"
"Tunchiornis ochraceiceps","Tawny-crowned Greenlet"
"Myrmothera campanisona","Thrush-like Antpitta"
"Tyranneutes virescens","Tiny Tyrant-Manakin"
"Ramphastos toco","Toco Toucan"
"Herpsilochmus stictocephalus","Todd's Antwren"
"Sirystes subcanescens","Todd's Sirystes"
"Egretta tricolor","Tricolored Heron"
"Ramphocaenus melanurus","Trilling Gnatwren"
"Polioptila plumbea","Tropical Gnatcatcher"
"Tyrannus melancholicus","Tropical Kingbird"
"Mimus gilvus","Tropical Mockingbird"
"Setophaga pitiayumi","Tropical Parula"
"Megascops choliba","Tropical Screech Owl"
"Lophornis ornatus","Tufted Coquette"
"Tangara mexicana","Turquoise Tanager"
"Amaurolimnas concolor","Uniform Crake"
"Grallaria varia","Variegated Antpitta"
"Crypturellus variegatus","Variegated Tinamou"
"Euphonia violacea","Violaceous Euphonia"
"Jacana jacana","Wattled Jacana"
"Celeus undatus","Waved Woodpecker"
"Glyphorynchus spirurus","Wedge-billed Woodcreeper"
"Emberizoides herbicola","Wedge-tailed Grass Finch"
"Myiobius barbatus","Whiskered Myiobius"
"Procnias albus","White Bellbird"
"Pseudastur albicollis","White Hawk"
"Atticora fasciata","White-banded Swallow"
"Picumnus cirratus","White-barred Piculet"
"Manacus manacus","White-bearded Manakin"
"Mazaria propinqua","White-bellied Spinetail"
"Henicorhina leucosticta","White-breasted Wood Wren"
"Myrmoborus leucophrys","White-browed Antbird"
"Chrysuronia brevirostris","White-chested Emerald"
"Chlorestes cyanus","White-chinned Sapphire"
"Dendrocincla merula","White-chinned Woodcreeper"
"Platyrinchus platyrhynchos","White-crested Spadebill"
"Pseudopipra pipra","White-crowned Manakin"
"Psittacara leucophthalmus","White-eyed Parakeet"
"Hemitriccus zosterops","White-eyed Tody-Tyrant"
"Myrmotherula axillaris","White-flanked Antwren"
"Lepidothrix serena","White-fronted Manakin"
"Arundinicola leucocephala","White-headed Marsh Tyrant"
"Tachyphonus rufus","White-lined Tanager"
"Euphonia chrysopasta","White-lored Euphonia"
"Ornithion inerme","White-lored Tyrannulet"
"Florisuga mellivora","White-necked Jacobin"
"Turdus albicollis","White-necked Thrush"
"Pithys albifrons","White-plumed Antbird"
"Geranoaetus albicaudatus","White-tailed Hawk"
"Hydropsalis cayennensis","White-tailed Nightjar"
"Corapipo gutturalis","White-throated Manakin"
"Contopus albogularis","White-throated Pewee"
"Ramphastos tucanus","White-throated Toucan"
"Leptotila verreauxi","White-tipped Dove"
"Aeronautes montivagus","White-tipped Swift"
"Pachyramphus polychopterus","White-winged Becard"
"Nyctibius leucopterus","White-winged Potoo"
"Tachycineta albiventer","White-winged Swallow"
"Charadrius wilsonia","Wilson's Plover"
"Gallinago delicata","Wilson's Snipe"
"Myrmornis torquata","Wing-banded Antbird"
"Microcerculus bambla","Wing-banded Wren"
"Piprites chloris","Wing-barred Piprites"
"Sporophila americana","Wing-barred Seedeater"
"Mycteria americana","Wood Stork"
"Icterus nigrogularis","Yellow Oriole"
"Capsiempis flaveola","Yellow Tyrannulet"
"Elaenia flavogaster","Yellow-bellied Elaenia"
"Sporophila nigricollis","Yellow-bellied Seedeater"
"Coccyzus americanus","Yellow-billed Cuckoo"
"Galbula albirostris","Yellow-billed Jacamar"
"Sternula superciliaris","Yellow-billed Tern"
"Laterallus flaviventer","Yellow-breasted Crake"
"Certhiaxis cinnamomeus","Yellow-chinned Spinetail"
"Myiopagis flavivertex","Yellow-crowned Elaenia"
"Nyctanassa violacea","Yellow-crowned Night Heron"
"Tyrannulus elatus","Yellow-crowned Tyrannulet"
"Caryothraustes canadensis","Yellow-green Grosbeak"
"Milvago chimachima","Yellow-headed Caracara"
"Chrysomus icterocephalus","Yellow-hooded Blackbird"
"Tolmomyias sulphurescens","Yellow-olive Flatbill"
"Cacicus cela","Yellow-rumped Cacique"
"Conopias parvus","Yellow-throated Flycatcher"
"Setophaga dominica","Yellow-throated Warbler"
"Piculus flavigula","Yellow-throated Woodpecker"
"Melanerpes cruentatus","Yellow-tufted Woodpecker"
"Anthus lutescens","Yellowish Pipit"
"Zebrilus undulatus","Zigzag Heron"
"Tolmomyias assimilis","Zimmer's Flatbill"
